Date : 2026-05-25 23:09:33
Directory : /Users/constantine/Documents/work/code/projects/ZhiYu
Total : 638 files,  65654 codes, 14604 comments, 12903 blanks, all 93161 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Swift              |        517 |     52,013 |     14,246 |      9,671 |     75,930 |
| Markdown           |         84 |      8,058 |          0 |      2,457 |     10,515 |
| JavaScript         |          3 |      2,987 |         47 |        339 |      3,373 |
| Python             |         11 |      1,674 |        209 |        316 |      2,199 |
| JSON               |         13 |        312 |          0 |         10 |        322 |
| YAML               |          3 |        309 |         23 |         34 |        366 |
| Shell Script       |          3 |        151 |         70 |         55 |        276 |
| TypeScript         |          1 |         97 |          0 |         16 |        113 |
| XML                |          1 |         26 |          0 |          1 |         27 |
| Ruby               |          1 |         20 |          9 |          4 |         33 |
| JSON with Comments |          1 |          7 |          0 |          0 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        638 |     65,654 |     14,604 |     12,903 |     93,161 |
| . (Files)                                                                                                                                         |          8 |        708 |          9 |        160 |        877 |
| .github                                                                                                                                           |          1 |         35 |         14 |         13 |         62 |
| .github/workflows                                                                                                                                 |          1 |         35 |         14 |         13 |         62 |
| .workbuddy                                                                                                                                        |          5 |        211 |          0 |         55 |        266 |
| .workbuddy/memory                                                                                                                                 |          5 |        211 |          0 |         55 |        266 |
| Configs                                                                                                                                           |          3 |         57 |          0 |          2 |         59 |
| Docs                                                                                                                                              |         72 |      7,324 |          0 |      2,206 |      9,530 |
| Docs (Files)                                                                                                                                      |          7 |        633 |          0 |        169 |        802 |
| Docs/Architecture                                                                                                                                 |          5 |        797 |          0 |        205 |      1,002 |
| Docs/Design                                                                                                                                       |         11 |      1,140 |          0 |        376 |      1,516 |
| Docs/Requirements                                                                                                                                 |          6 |        507 |          0 |        154 |        661 |
| Docs/Testing                                                                                                                                      |          7 |        713 |          0 |        219 |        932 |
| Docs/guides                                                                                                                                       |          4 |        369 |          0 |        141 |        510 |
| Docs/superpowers                                                                                                                                  |         32 |      3,165 |          0 |        942 |      4,107 |
| Docs/superpowers (Files)                                                                                                                          |          2 |         95 |          0 |         32 |        127 |
| Docs/superpowers/plans                                                                                                                            |         23 |      2,408 |          0 |        763 |      3,171 |
| Docs/superpowers/specs                                                                                                                            |          7 |        662 |          0 |        147 |        809 |
| Sources                                                                                                                                           |        462 |     47,034 |     12,033 |      7,919 |     66,986 |
| Sources/App                                                                                                                                       |         21 |      2,668 |        649 |        469 |      3,786 |
| Sources/App (Files)                                                                                                                               |         13 |      1,390 |        372 |        259 |      2,021 |
| Sources/App/Environment                                                                                                                           |          3 |         85 |         36 |         31 |        152 |
| Sources/App/Store                                                                                                                                 |          2 |        377 |        144 |         79 |        600 |
| Sources/App/Views                                                                                                                                 |          3 |        816 |         97 |        100 |      1,013 |
| Sources/Assets.xcassets                                                                                                                           |          5 |        110 |          0 |          4 |        114 |
| Sources/Assets.xcassets (Files)                                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| Sources/Assets.xcassets/AccentColor.colorset                                                                                                      |          1 |         38 |          0 |          1 |         39 |
| Sources/Assets.xcassets/AppIcon-Watch.appiconset                                                                                                  |          1 |         14 |          0 |          1 |         15 |
| Sources/Assets.xcassets/AppIcon-iOS.appiconset                                                                                                    |          1 |         14 |          0 |          1 |         15 |
| Sources/Assets.xcassets/LaunchBackground.colorset                                                                                                 |          1 |         38 |          0 |          0 |         38 |
| Sources/Base.lproj                                                                                                                                |          1 |         26 |          0 |          1 |         27 |
| Sources/Core                                                                                                                                      |         65 |      2,472 |      1,738 |        685 |      4,895 |
| Sources/Core/Base                                                                                                                                 |         43 |      1,170 |      1,140 |        402 |      2,712 |
| Sources/Core/Base (Files)                                                                                                                         |          1 |         81 |         32 |         25 |        138 |
| Sources/Core/Base/Constants                                                                                                                       |          4 |        259 |        126 |         46 |        431 |
| Sources/Core/Base/Extensions                                                                                                                      |          2 |         47 |         29 |         13 |         89 |
| Sources/Core/Base/Protocols                                                                                                                       |         25 |        443 |        711 |        207 |      1,361 |
| Sources/Core/Base/Stubs                                                                                                                           |          7 |         61 |        117 |         33 |        211 |
| Sources/Core/Base/Utils                                                                                                                           |          4 |        279 |        125 |         78 |        482 |
| Sources/Core/System                                                                                                                               |         22 |      1,302 |        598 |        283 |      2,183 |
| Sources/Core/System/Accessibility                                                                                                                 |          1 |         30 |         24 |          6 |         60 |
| Sources/Core/System/Analytics                                                                                                                     |          1 |         41 |         20 |         12 |         73 |
| Sources/Core/System/Events                                                                                                                        |          1 |         30 |         14 |          7 |         51 |
| Sources/Core/System/Haptic                                                                                                                        |          4 |         75 |         51 |         14 |        140 |
| Sources/Core/System/Logger                                                                                                                        |          1 |        235 |        101 |         52 |        388 |
| Sources/Core/System/Notifications                                                                                                                 |          1 |          9 |         10 |          2 |         21 |
| Sources/Core/System/Onboarding                                                                                                                    |          1 |         64 |         19 |         16 |         99 |
| Sources/Core/System/Performance                                                                                                                   |          1 |        114 |         33 |         17 |        164 |
| Sources/Core/System/Routing                                                                                                                       |          2 |         86 |         44 |         20 |        150 |
| Sources/Core/System/Security                                                                                                                      |          6 |        430 |        187 |         93 |        710 |
| Sources/Core/System/Shortcuts                                                                                                                     |          2 |        119 |         72 |         30 |        221 |
| Sources/Core/System/Workflow                                                                                                                      |          1 |         69 |         23 |         14 |        106 |
| Sources/Domain                                                                                                                                    |         28 |      1,414 |        671 |        351 |      2,436 |
| Sources/Domain/Knowledge                                                                                                                          |          2 |        177 |         67 |         49 |        293 |
| Sources/Domain/Models                                                                                                                             |         11 |        561 |        216 |         97 |        874 |
| Sources/Domain/Protocols                                                                                                                          |          8 |        108 |        195 |         81 |        384 |
| Sources/Domain/RAG                                                                                                                                |          7 |        568 |        193 |        124 |        885 |
| Sources/Features                                                                                                                                  |        126 |     19,649 |      3,008 |      2,612 |     25,269 |
| Sources/Features/AI                                                                                                                               |         22 |      3,788 |        528 |        497 |      4,813 |
| Sources/Features/AI (Files)                                                                                                                       |          1 |         20 |         13 |          4 |         37 |
| Sources/Features/AI/Chat                                                                                                                          |          8 |      1,201 |        206 |        185 |      1,592 |
| Sources/Features/AI/Chat/Coordinator                                                                                                              |          1 |        136 |         38 |         29 |        203 |
| Sources/Features/AI/Chat/Model                                                                                                                    |          2 |        255 |         60 |         59 |        374 |
| Sources/Features/AI/Chat/Service                                                                                                                  |          1 |         27 |         21 |         10 |         58 |
| Sources/Features/AI/Chat/View                                                                                                                     |          4 |        783 |         87 |         87 |        957 |
| Sources/Features/AI/Chat/View (Files)                                                                                                             |          2 |        364 |         37 |         38 |        439 |
| Sources/Features/AI/Chat/View/Components                                                                                                          |          2 |        419 |         50 |         49 |        518 |
| Sources/Features/AI/Quiz                                                                                                                          |          2 |        268 |         43 |         30 |        341 |
| Sources/Features/AI/Quiz/View                                                                                                                     |          2 |        268 |         43 |         30 |        341 |
| Sources/Features/AI/Synthesis                                                                                                                     |          7 |      1,312 |        170 |        161 |      1,643 |
| Sources/Features/AI/Synthesis/Model                                                                                                               |          1 |        258 |         35 |         33 |        326 |
| Sources/Features/AI/Synthesis/Service                                                                                                             |          1 |        154 |         36 |         34 |        224 |
| Sources/Features/AI/Synthesis/View                                                                                                                |          5 |        900 |         99 |         94 |      1,093 |
| Sources/Features/AI/Synthesis/View (Files)                                                                                                        |          2 |        651 |         54 |         58 |        763 |
| Sources/Features/AI/Synthesis/View/Components                                                                                                     |          3 |        249 |         45 |         36 |        330 |
| Sources/Features/AI/TaskCenter                                                                                                                    |          2 |        590 |         61 |         69 |        720 |
| Sources/Features/AI/TaskCenter/Service                                                                                                            |          1 |        189 |         43 |         31 |        263 |
| Sources/Features/AI/TaskCenter/View                                                                                                               |          1 |        401 |         18 |         38 |        457 |
| Sources/Features/AI/VoiceNote                                                                                                                     |          2 |        397 |         35 |         48 |        480 |
| Sources/Features/AI/VoiceNote/View                                                                                                                |          2 |        397 |         35 |         48 |        480 |
| Sources/Features/AI/VoiceNote/View (Files)                                                                                                        |          1 |        251 |         19 |         31 |        301 |
| Sources/Features/AI/VoiceNote/View/Components                                                                                                     |          1 |        146 |         16 |         17 |        179 |
| Sources/Features/Insight                                                                                                                          |         27 |      4,311 |        507 |        524 |      5,342 |
| Sources/Features/Insight (Files)                                                                                                                  |          1 |         18 |         12 |          4 |         34 |
| Sources/Features/Insight/Dashboard                                                                                                                |         19 |      2,951 |        356 |        344 |      3,651 |
| Sources/Features/Insight/Dashboard/Coordinator                                                                                                    |          3 |        233 |         67 |         47 |        347 |
| Sources/Features/Insight/Dashboard/Model                                                                                                          |          1 |         12 |         11 |          3 |         26 |
| Sources/Features/Insight/Dashboard/Service                                                                                                        |          1 |        112 |         17 |         23 |        152 |
| Sources/Features/Insight/Dashboard/View                                                                                                           |         14 |      2,594 |        261 |        271 |      3,126 |
| Sources/Features/Insight/Dashboard/View (Files)                                                                                                   |          6 |      1,686 |        131 |        179 |      1,996 |
| Sources/Features/Insight/Dashboard/View/Components                                                                                                |          2 |        326 |         35 |         32 |        393 |
| Sources/Features/Insight/Dashboard/View/Subviews                                                                                                  |          6 |        582 |         95 |         60 |        737 |
| Sources/Features/Insight/Lint                                                                                                                     |          3 |        757 |         72 |        101 |        930 |
| Sources/Features/Insight/Lint/Model                                                                                                               |          1 |         68 |         12 |         10 |         90 |
| Sources/Features/Insight/Lint/Service                                                                                                             |          1 |        157 |         28 |         24 |        209 |
| Sources/Features/Insight/Lint/View                                                                                                                |          1 |        532 |         32 |         67 |        631 |
| Sources/Features/Insight/Log                                                                                                                      |          1 |        299 |         22 |         30 |        351 |
| Sources/Features/Insight/Log/View                                                                                                                 |          1 |        299 |         22 |         30 |        351 |
| Sources/Features/Insight/MedalWall                                                                                                                |          3 |        286 |         45 |         45 |        376 |
| Sources/Features/Insight/MedalWall/Service                                                                                                        |          1 |         93 |         17 |         18 |        128 |
| Sources/Features/Insight/MedalWall/View                                                                                                           |          2 |        193 |         28 |         27 |        248 |
| Sources/Features/Insight/MedalWall/View (Files)                                                                                                   |          1 |         67 |         15 |         11 |         93 |
| Sources/Features/Insight/MedalWall/View/Components                                                                                                |          1 |        126 |         13 |         16 |        155 |
| Sources/Features/Knowledge                                                                                                                        |         48 |      6,546 |      1,235 |        904 |      8,685 |
| Sources/Features/Knowledge (Files)                                                                                                                |          1 |         26 |         12 |          4 |         42 |
| Sources/Features/Knowledge/Graph                                                                                                                  |         14 |      2,127 |        342 |        282 |      2,751 |
| Sources/Features/Knowledge/Graph/Model                                                                                                            |          1 |         17 |         12 |          3 |         32 |
| Sources/Features/Knowledge/Graph/Service                                                                                                          |          3 |        151 |         56 |         35 |        242 |
| Sources/Features/Knowledge/Graph/View                                                                                                             |          9 |      1,883 |        252 |        230 |      2,365 |
